stk_code,sector,industry,mkt_cap,mkt_cap_gp
A,Industrials,Electrical Products,45668950000.0,large
AA,Industrials,Metal Fabrications,8050641008.0,medium
AAC,Finance,Business Services,1257500000.0,small
AACG,Consumer Discretionary,Service to the Health Industry,42986380.0,nano
AACI,Industrials,Consumer Electronics/Appliances,207467771.0,micro
AACIW,Industrials,Consumer Electronics/Appliances,0.0,nano
AADI,Health Care,Biotechnology: Pharmaceutical Preparations,320063935.0,small
AAIC,Real Estate,Real Estate Investment Trusts,84532700.0,micro
AAIN,Finance,Finance/Investors Services,0.0,nano
AAL,Consumer Discretionary,Air Freight/Delivery Services,8676176841.0,medium
AAMC,Finance,Investment Managers,37319528.0,nano
AAME,Finance,Life Insurance,49085022.0,nano
AAN,Consumer Discretionary,Diversified Commercial Services,378599879.0,small
AAOI,Technology,Semiconductors,60755521.0,micro
AAON,Industrials,Industrial Machinery/Components,4243727066.0,medium
AAP,Consumer Discretionary,Auto & Home Supply Stores,8500538097.0,medium
AAPL,Technology,Computer Manufacturing,2482880461400.0,mega
AAQC,Industrials,Consumer Electronics/Appliances,505750000.0,small
AAT,Real Estate,Real Estate Investment Trusts,1669365412.0,small
AATC,Industrials,Industrial Machinery/Components,27092612.0,nano
AAU,,,33097804.0,nano
AAWW,Consumer Discretionary,Transportation Services,2853438319.0,medium
AB,Finance,Investment Managers,3939736967.0,medium
ABB,Energy,Electrical Products,59456250000.0,large
ABBV,Health Care,Other Pharmaceuticals,291551696549.0,mega
ABC,Health Care,Other Pharmaceuticals,33597733342.0,large
ABCB,Finance,Major Banks,3310850588.0,medium
ABCL,Health Care,Pharmaceuticals and Biotechnology,2898197326.0,medium
ABCM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3645423321.0,medium
ABEO,Health Care,Biotechnology: Pharmaceutical Preparations,51012123.0,micro
ABEV,Consumer Staples,Beverages (Production/Distribution),44863508948.0,large
ABG,Consumer Discretionary,Other Specialty Stores,3926625642.0,medium
ABGI,Finance,Business Services,194098802.0,micro
ABIO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,32855126.0,nano
ABM,Consumer Discretionary,Diversified Commercial Services,2924559583.0,medium
ABMD,Health Care,Medical/Dental Instruments,17139609950.0,large
ABNB,Consumer Discretionary,Hotels/Resorts,56019758728.0,large
ABOS,Health Care,Biotechnology: Pharmaceutical Preparations,235729636.0,micro
ABR,Real Estate,Real Estate Investment Trusts,2380747457.0,medium
ABSI,Health Care,Biotechnology: Pharmaceutical Preparations,257781796.0,micro
ABST,,,520374901.0,small
ABT,Health Care,Medical/Dental Instruments,193990018429.0,large
ABUS,Health Care,Pharmaceuticals and Biotechnology,425590471.0,small
ABVC,Health Care,Biotechnology: Pharmaceutical Preparations,23172217.0,nano
AC,Finance,Investment Bankers/Brokers/Service,911991273.0,small
ACA,Industrials,Engineering & Construction,2779415740.0,medium
ACAB,Industrials,Consumer Electronics/Appliances,380250000.0,small
ACABW,Industrials,Consumer Electronics/Appliances,0.0,nano
ACAC,Industrials,Consumer Electronics/Appliances,109537500.0,micro
ACACU,Industrials,Consumer Electronics/Appliances,0.0,nano
ACACW,Industrials,Consumer Electronics/Appliances,0.0,nano
ACAD,Health Care,Biotechnology: Pharmaceutical Preparations,2555271085.0,medium
ACAH,Industrials,Consumer Electronics/Appliances,430387500.0,small
ACAHU,Industrials,Consumer Electronics/Appliances,0.0,nano
ACAHW,Industrials,Consumer Electronics/Appliances,0.0,nano
ACAQ,Industrials,Consumer Electronics/Appliances,334265100.0,small
ACAX,Industrials,Consumer Electronics/Appliances,112099800.0,micro
ACAXR,Industrials,Consumer Electronics/Appliances,0.0,nano
ACAXW,Industrials,Consumer Electronics/Appliances,0.0,nano
ACB,Health Care,Pharmaceuticals and Biotechnology,356765841.0,small
ACBA,Consumer Discretionary,Business Services,64232940.0,micro
ACCD,Technology,Interactive Media,666873696.0,small
ACCO,Consumer Discretionary,Advertising,528803795.0,small
ACDC,Industrials,Metal Fabrications,1181699779.0,small
ACDCW,Industrials,Metal Fabrications,0.0,nano
ACDI,Finance,Business Services,385500000.0,small
ACEL,Consumer Discretionary,Recreational Games/Products/Toys,697112612.0,small
ACER,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),63998953.0,micro
ACET,Health Care,Biotechnology: Pharmaceutical Preparations,208435770.0,micro
ACGL,Finance,Property-Casualty Insurers,22310740989.0,large
ACGLN,Finance,Property-Casualty Insurers,0.0,nano
ACGLO,Finance,Property-Casualty Insurers,0.0,nano
ACHC,Health Care,Hospital/Nursing Management,7753945249.0,medium
ACHL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),47079577.0,nano
ACHR,Industrials,Aerospace,513352017.0,small
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,45100513.0,nano
ACI,Consumer Staples,Food Chains,11140080616.0,large
ACIU,Health Care,Biotechnology: Pharmaceutical Preparations,184343831.0,micro
ACIW,Technology,EDP Services,2368846724.0,medium
ACLS,Technology,Industrial Machinery/Components,2805600805.0,medium
ACLX,Health Care,Biotechnology: Pharmaceutical Preparations,1447178469.0,small
ACM,Consumer Discretionary,Military/Government/Technical,11788046806.0,large
ACMR,Technology,Industrial Machinery/Components,569629933.0,small
ACN,Technology,EDP Services,183636804342.0,large
ACNB,Finance,Major Banks,327651863.0,small
ACNT,Industrials,Steel/Iron Ore,106461514.0,micro
ACON,Technology,Retail: Computer Software & Peripheral Equipment,4459046.0,nano
ACONW,Technology,Retail: Computer Software & Peripheral Equipment,0.0,nano
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),12704339.0,nano
ACP,Finance,Investment Managers,173344772.0,micro
ACQR,Finance,Business Services,623605668.0,small
ACQRU,Finance,Business Services,0.0,nano
ACQRW,Finance,Business Services,0.0,nano
ACR,Real Estate,Real Estate Investment Trusts,79878168.0,micro
ACRE,Real Estate,Real Estate Investment Trusts,639156699.0,small
ACRO,Industrials,Consumer Electronics/Appliances,426937500.0,small
ACRS,Health Care,Biotechnology: Commercial Physical & Biological Resarch,1078267198.0,small
ACRV,Health Care, Medicinal Chemicals and Botanical Products ,265960386.0,micro
ACRX,Health Care, Medicinal Chemicals and Botanical Products ,18772402.0,nano
ACST,Health Care,Pharmaceuticals and Biotechnology,15752791.0,nano
ACT,Finance,Specialty Insurers,3896823753.0,medium
ACTG,Miscellaneous,Multi-Sector Companies,161099021.0,micro
ACU,Consumer Discretionary,Home Furnishings,82005713.0,micro
ACV,Finance,Finance/Investors Services,210886114.0,micro
ACVA,Industrials,Metal Fabrications,1416021878.0,small
ACXP,Health Care,Biotechnology: Pharmaceutical Preparations,44051914.0,nano
ADAG,Health Care,Biotechnology: Pharmaceutical Preparations,59923994.0,micro
ADAL,Finance,Business Services,308516250.0,small
ADALW,Finance,Business Services,0.0,nano
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),226084045.0,micro
ADBE,Technology,Computer Software: Prepackaged Software,158028808000.0,large
ADC,Real Estate,Real Estate Investment Trusts,6309072455.0,medium
ADCT,Health Care,Biotechnology: Pharmaceutical Preparations,270205574.0,micro
ADD,,,5033704.0,nano
ADEA,Technology,EDP Services,1062147289.0,small
ADER,Industrials,Consumer Electronics/Appliances,346843750.0,small
ADERU,Industrials,Consumer Electronics/Appliances,0.0,nano
ADERW,Industrials,Consumer Electronics/Appliances,0.0,nano
ADES,Industrials,Industrial Specialties,43381766.0,nano
ADEX,Industrials,Consumer Electronics/Appliances,340515000.0,small
ADI,Technology,Semiconductors,87435927151.0,large
ADIL,Health Care,Biotechnology: Pharmaceutical Preparations,6377816.0,nano
ADILW,Health Care,Biotechnology: Pharmaceutical Preparations,0.0,nano
ADM,,,50978216266.0,large
ADMA,Health Care,Biotechnology: Pharmaceutical Preparations,810714674.0,small
ADMP,Health Care,Biotechnology: Pharmaceutical Preparations,24537262.0,nano
ADN,Utilities,Power Generation,39650124.0,nano
ADNT,Consumer Discretionary,Auto Parts:O.E.M.,3401613474.0,medium
ADNWW,Utilities,Power Generation,0.0,nano
ADOC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),50576644.0,micro
ADOCR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.0,nano
ADOCW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.0,nano
ADP,Consumer Discretionary,Business Services,107888406162.0,large
ADPT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1188431025.0,small
ADRA,Consumer Discretionary,Durable Goods,145475000.0,micro
ADRT,Industrials,Consumer Electronics/Appliances,146050000.0,micro
ADSE,Consumer Discretionary,Industrial Specialties,180589223.0,micro
ADSEW,Consumer Discretionary,Industrial Specialties,0.0,nano
ADSK,Technology,Computer Software: Prepackaged Software,43166444850.0,large
ADT,Consumer Discretionary,Diversified Commercial Services,9006787262.0,medium
ADTH,Consumer Discretionary,Advertising,142519833.0,micro
ADTHW,Consumer Discretionary,Advertising,0.0,nano
ADTN,Telecommunications,Telecommunications Equipment,1595829546.0,small
ADTX,Health Care, Medicinal Chemicals and Botanical Products ,6657806.0,nano
ADUS,Health Care,Medical/Nursing Services,1710759553.0,small
ADV,Consumer Discretionary,Advertising,671337370.0,small
ADVM,Health Care,Biotechnology: Pharmaceutical Preparations,62958933.0,micro
ADVWW,Consumer Discretionary,Advertising,0.0,nano
ADX,Finance,Investment Managers,1788809409.0,small
ADXN,Health Care,Biotechnology: Pharmaceutical Preparations,11967387.0,nano
AE,Energy,Oilfield Services/Equipment,93019684.0,micro
AEAC,Finance,Business Services,301800000.0,small
AEACU,Finance,Business Services,0.0,nano
AEACW,Finance,Business Services,0.0,nano
AEAE,Industrials,Consumer Electronics/Appliances,291812500.0,micro
AEAEW,Industrials,Consumer Electronics/Appliances,0.0,nano
AEE,Utilities,Power Generation,23212705555.0,large
AEF,Finance,Finance/Investors Services,265939317.0,micro
AEFC,,,0.0,nano
AEG,Finance,Life Insurance,9747357275.0,medium
AEHA,Industrials,Consumer Electronics/Appliances,136614250.0,micro
AEHL,Consumer Discretionary,Building Products,4406928.0,nano
AEHR,Industrials,Electrical Products,621395046.0,small
AEI,Real Estate,Building operators,25290774.0,nano
AEIS,Consumer Discretionary,Electrical Products,3510648330.0,medium
AEL,Finance,Life Insurance,3422948264.0,medium
AEM,,,23991478661.0,large
AEMD,Miscellaneous,Diversified Commercial Services,7563078.0,nano
AENZ,Industrials,Engineering & Construction,203486598.0,micro
AEO,Consumer Discretionary,Clothing/Shoe/Accessory Stores,2863567286.0,medium
AEP,Utilities,Electric Utilities: Central,50610433646.0,large
AEPPZ,Utilities,Electric Utilities: Central,0.0,nano
AER,Consumer Discretionary,Diversified Commercial Services,14553609736.0,large
AERC,Utilities,Environmental Services,52999507.0,micro
AES,Utilities,Electric Utilities: Central,19530851509.0,large
AESC,Utilities,Electric Utilities: Central,0.0,nano
AEVA,Consumer Discretionary,Auto Parts:O.E.M.,336075323.0,small
AEY,Consumer Discretionary,Durable Goods,19066713.0,nano
AEYE,Technology,EDP Services,49602398.0,nano
AEZS,Health Care,Pharmaceuticals and Biotechnology,17384036.0,nano
AFAQ,Industrials,Consumer Electronics/Appliances,282800000.0,micro
AFAQU,Industrials,Consumer Electronics/Appliances,0.0,nano
AFAQW,Industrials,Consumer Electronics/Appliances,0.0,nano
AFAR,Finance,Business Services,147909573.0,micro
AFARU,Finance,Business Services,0.0,nano
AFB,Finance,Trusts Except Educational Religious and Charitable,306133568.0,small
AFBI,Finance,Major Banks,95266954.0,micro
AFCG,Real Estate,Real Estate Investment Trusts,333358680.0,small
AFG,Finance,Property-Casualty Insurers,11494372905.0,large
AFGB,Finance,Property-Casualty Insurers,0.0,nano
AFGC,Finance,Real Estate,21807611.0,nano
AFGD,Finance,Property-Casualty Insurers,0.0,nano
AFGE,,,0.0,nano
AFIB,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,22579703.0,nano
AFL,Finance,Accident &Health Insurance,43767696738.0,large
AFMD,Health Care,Biotechnology: Pharmaceutical Preparations,176220415.0,micro
AFRI,Consumer Staples,Farming/Seeds/Milling,316560040.0,small
AFRIW,Consumer Staples,Farming/Seeds/Milling,0.0,nano
AFRM,Technology,EDP Services,3278695712.0,medium
AFT,Finance,Investment Managers,194046745.0,micro
AFTR,Finance,Business Services,312031250.0,small
AFYA,Real Estate,Other Consumer Services,1355343748.0,small
AG,,,2383837751.0,medium
AGAC,Finance,Business Services,519052500.0,small
AGAE,Telecommunications,Cable & Other Pay Television Services,40258034.0,nano
AGBA,Finance,Investment Managers,128352125.0,micro
AGBAW,Finance,Investment Managers,0.0,nano
AGCB,Finance,Business Services,578661500.0,small
AGCO,Industrials,Industrial Machinery/Components,9895434914.0,medium
AGD,Finance,Trusts Except Educational Religious and Charitable,120475987.0,micro
AGE,Health Care,Biotechnology: Pharmaceutical Preparations,20491462.0,nano
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),819943433.0,small
AGFS,,,156504438.0,micro
AGFY,Consumer Discretionary,Military/Government/Technical,7367380.0,nano
AGGR,Finance,Business Services,389243750.0,small
AGGRU,Finance,Business Services,0.0,nano
AGGRW,Finance,Business Services,0.0,nano
AGI,,,3894399860.0,medium
AGIL,Technology,EDP Services,167404536.0,micro
AGIO,Health Care,Biotechnology: Pharmaceutical Preparations,1704389433.0,small
AGL,Health Care,Managed Health Care,7256881329.0,medium
